"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Brd1","1","SSD1306","","","","SSD1306:128x64OLED",""
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"D1,D3","2","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2","1","LED","","","","LED_THT:LED_D3.0mm","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad","~"
"J1","1","Screw_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"J2","1","SR04 Sensor Jarak","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","LDR","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J4","1","Soil Moisture Sensor","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"K1","1","SRD-05VDC-SL-C","","","","SRD-05VDC-SL-C:RELAY_SRD-05VDC-SL-C",""
"Q1,Q2","2","BC547","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R2,R3","3","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","ESP32-DEVKIT-V1","","","","ESP32-DEVKIT-V1:MODULE_ESP32_DEVKIT_V1",""
